pick,team,player,position,cfb_team,,
1,Arizona Cardinals,Kyler Murray,QB,Oklahoma,Big 12,2018 Heisman Trophy Winner
2,San Francisco 49ers,Nick Bosa,DE,Ohio State,Big Ten,
3,New York Jets,Quinnen Williams,DE,Alabama,SEC,
4,Oakland Raiders,Clelin Ferrell,DE,Clemson,ACC,
5,Tampa Bay Buccaneers,Devin White,LB,LSU,SEC,
6,New York Giants,Daniel Jones,QB,Duke,ACC,
7,Jacksonville Jaguars,Josh Allen,LB,Kentucky,SEC,
8,Detroit Lions,T.J. Hockenson,TE,Iowa,Big Ten,
9,Buffalo Bills,Ed Oliver,DT,Houston,The American,
10,Pittsburgh Steelers,Devin Bush,LB,Michigan,Big Ten,from Denver [R1 - 1]
11,Cincinnati Bengals,Jonah Williams,OT,Alabama,SEC,
12,Green Bay Packers,Rashan Gary,DE,Michigan,Big Ten,
13,Miami Dolphins,Christian Wilkins,DT,Clemson,ACC,
14,Atlanta Falcons,Chris Lindstrom,G,Boston College,ACC,
15,Washington Redskins,Dwayne Haskins,QB,Ohio State,Big Ten,
16,Carolina Panthers,Brian Burns,LB,Florida State,ACC,
17,New York Giants,Dexter Lawrence,DT,Clemson,ACC,from Cleveland [R1 - 2]
18,Minnesota Vikings,Garrett Bradbury,C,NC State,ACC,
19,Tennessee Titans,Jeffery Simmons,DT,Mississippi State,SEC,
20,Denver Broncos,Noah Fant,TE,Iowa,Big Ten,from Pittsburgh [R1 - 3]
21,Green Bay Packers,Darnell Savage,S,Maryland,Big Ten,from Seattle
22,Philadelphia Eagles,Andre Dillard,OT,Washington State,Pac-12,from Baltimore [R1 - 4]
23,Houston Texans,Tytus Howard,OT,Alabama State,SWAC,
24,Oakland Raiders,Josh Jacobs,RB,Alabama,SEC,from Chicago [R1 - 5]
25,Baltimore Ravens,Marquise Brown,WR,Oklahoma,Big 12,from Philadelphia [R1 - 6]
26,Washington Redskins,Montez Sweat,DE,Mississippi State,SEC,from Indianapolis
27,Oakland Raiders,Johnathan Abram,S,Mississippi State,SEC,from Dallas [R1 - 7]
28,Los Angeles Chargers,Jerry Tillery,DT,Notre Dame,Ind. (FBS),
29,Seattle Seahawks,L.J. Collier,DE,TCU,Big 12,from Kansas City [R1 - 8]
30,New York Giants,Deandre Baker,CB,Georgia,SEC,"from New Orleans via Green Bay, Seattle [R1 - 9]"
31,Atlanta Falcons,Kaleb McGary,OT,Washington,Pac-12,from LA Rams
32,New England Patriots,N'Keal Harry,WR,Arizona State,Pac-12,