name,position,school,ADP,drafts
Kyler Murray,QB,Oklahoma,1.8160676532769555,473
Nick Bosa,DE,Ohio State,2.1353065539112053,473
Quinnen Williams,DT,Alabama,3.697674418604651,473
Josh Allen,LB,Kentucky,3.719409282700422,474
Devin White,LB,LSU,7.029850746268656,469
Dwayne Haskins,QB,Ohio State,8.789473684210526,456
Jawaan Taylor,OT,Florida,9.238095238095237,462
Ed Oliver,DT,Houston,9.349785407725323,466
Montez Sweat,DE,Mississippi State,10.557986870897155,457
Rashan Gary,DE,Michigan,11.245575221238939,452
Drew Lock,QB,Missouri,12.13817330210773,427
T.J. Hockenson,TE,Iowa,12.955357142857142,448
Jonah Williams,OT,Alabama,13.300668151447661,449
Devin Bush,LB,Michigan,15.518433179723502,434
D.K. Metcalf,WR,Ole Miss,15.768878718535468,437
Brian Burns,DE,Florida State,16.00228310502283,438
Andre Dillard,OT,Washington State,17.595348837209304,430
Clelin Ferrell,DE,Clemson,18.962790697674418,430
Christian Wilkins,DT,Clemson,19.032558139534885,430
Cody Ford,OT,Oklahoma,20.372315035799524,419
Daniel Jones,QB,Duke,20.428571428571427,287
Greedy Williams,CB,LSU,20.46788990825688,436
Noah Fant,TE,Iowa,22.85342789598109,423
Byron Murphy,CB,Washington,23.11576354679803,406
Marquise Brown,WR,Oklahoma,25.370149253731345,335
Garrett Bradbury,C,NC State,25.74212034383954,349
Deandre Baker,CB,Georgia,26.784023668639055,338
Josh Jacobs,RB,Alabama,27.164133738601823,329
A.J. Brown,WR,Ole Miss,27.31985294117647,272
Dexter Lawrence,DT,Clemson,27.46820809248555,346
N'Keal Harry,WR,Arizona State,29.26851851851852,216
Chris Lindstrom,G,Boston College,29.299492385786802,197
Jeffery Simmons,DT,Mississippi State,29.518796992481203,266
Dalton Risner,OT,Kansas State,30.5158371040724,221
Jerry Tillery,DT,Notre Dame,31.631147540983605,244
Nasir Adderley,S,Delaware,32.369791666666664,192
Hakeem Butler,WR,Iowa State,33.20348837209303,172
Greg Little,OT,Ole Miss,33.42857142857143,147
Johnathan Abram,S,Mississippi State,33.63101604278075,187
Irv Smith,TE,Alabama,34.845360824742265,194
Rock Ya-Sin,CB,Temple,35.36645962732919,161
Chauncey Gardner-Johnson,S,Florida,37.19375,160
Erik McCoy,C,Texas A&M,37.27131782945737,129
Parris Campbell,WR,Ohio State,38.10144927536232,138
Taylor Rapp,S,Washington,38.51470588235294,136
Jaylon Ferguson,DE,Louisiana Tech,39.92857142857143,140
Mack Wilson,LB,Alabama,43.15238095238095,105
Kaleb McGary,OT,Washington,43.30275229357798,109
Jachai Polite,DE,Florida,44.74747474747475,99
Justin Layne,CB,Michigan State,45.01149425287356,87
Deionte Thompson,S,Alabama,45.470588235294116,102
Deebo Samuel,WR,South Carolina,46.48421052631579,95
Amani Oruwariye,CB,Penn State,47.916666666666664,84
Chase Winovich,DE,Michigan,48.44444444444444,99
Dre'mont Jones,DT,Ohio State,48.53409090909091,88
Kelvin Harmon,WR,NC State,50.333333333333336,75
Zach Allen,DE,Boston College,52.67567567567568,74
Juan Thornhill,S,Virginia,53.37647058823529,85
Darnell Savage,S,Maryland,54.688311688311686,77
Elgton Jenkins,C,Mississippi State,54.89873417721519,79
Will Grier,QB,West Virginia,55.80232558139535,86
Julian Love,CB,Notre Dame,55.851851851851855,81
Trayvon Mullen,CB,Clemson,58.30434782608695,69
J.J. Arcega-Whiteside,WR,Stanford,59.42424242424242,66
Yodny Cajuste,OT,West Virginia,60.38333333333333,60
Tytus Howard,OT,Alabama State,60.74242424242424,66
L.J. Collier,DE,Texas Christian,62.86153846153846,65
Ronheen Bingham,DE,Arkansas State,63,1
Lonnie Johnson,CB,Kentucky,63.21052631578947,57
Jace Sternberger,TE,Texas A&M,63.40625,64
Damien Harris,RB,Alabama,67.01886792452831,53
Terry McLaurin,WR,Ohio State,69.6078431372549,51
Charles Omenihu,DE,Texas,70.36734693877551,49
D'Andre Walker,LB,Georgia,70.41176470588235,51
Andy Isabella,WR,Massachusetts,70.41509433962264,53
Miles Sanders,RB,Penn State,70.53448275862068,58
David Montgomery,RB,Iowa State,70.72727272727273,55
Riley Ridley,WR,Georgia,70.77777777777777,63
Dawson Knox,TE,Ole Miss,72,39
Oshane Ximines,DE,Old Dominion,73.25862068965517,58
Sean Bunting,CB,Central Michigan,73.51219512195122,41
Amani Hooker,S,Iowa,75.02173913043478,46
Joejuan Williams,CB,Vanderbilt,75.14583333333333,48
David Edwards,OT,Wisconsin,76.5909090909091,44
Michael Deiter,G,Wisconsin,77.12765957446808,47
Germaine Pratt,LB,NC State,77.28205128205128,39
Khalen Saunders,DT,Western Illinois,81.69047619047619,42
Ryan Finley,QB,NC State,81.79411764705883,34
Ben Banogu,DE,Texas Christian,82.11428571428571,35
Miles Boykin,WR,Notre Dame,82.23255813953489,43
Dru Samia,G,Oklahoma,82.88235294117646,34
Vosean Joseph,LB,Florida,83.78125,32
Connor McGovern,G,Penn State,84.25,40
Darrell Henderson,RB,Memphis,84.71428571428571,42
David Long (UM),CB,Michigan,84.76315789473684,38
Emanuel Hall,WR,Missouri,85.3,40
Tyree Jackson,QB,Buffalo,85.66666666666667,18
Renell Wren,DT,Arizona State,86.88888888888889,27
Anthony Nelson,DE,Iowa,87.13333333333334,30
Christian Miller,LB,Alabama,88,27
Isaiah Johnson,CB,Houston,88.26470588235294,34
Jarrett Stidham,QB,Auburn,88.6923076923077,39
Kahale Warring,TE,San Diego State,90.58620689655173,29
Blake Cashman,LB,Minnesota,91.48387096774194,31
Devin Singletary,RB,Florida Atlantic,91.93333333333334,30
Gerald Willis,DT,Miami,93.38461538461539,39
Michael Jordan,C,Ohio State,93.39393939393939,33
Darryl Williams,G,Mississippi State,94.25,4
Max Scharping,OT,Northern Illinois,95.375,32
Bobby Evans,OT,Oklahoma,96.47826086956522,23
Trysten Hill,DT,Central Florida,96.72727272727273,22
Mecole Hardman,WR,Georgia,96.76470588235294,34
Nate Davis,G,Charlotte,96.84375,32
Tre Lamar,LB,Clemson,98.29166666666667,24
Joe Jackson,DE,Miami,98.4,30
Jamel Dean,CB,Auburn,99.18181818181819,33
